证券代码,所属行业,上市时间,公司性质,实际控制人,控制人类型,聘请的会计师事务所,是否在境外上市,统计年度
000630.SZ,有色金属冶炼和压延加工业,1996/11/20,国有企业,安徽省国有资产监督管理委员会,政府机构,华普天健会计师事务所(特殊普通合伙),否,2015
000631.SZ,房地产业,1996/11/22,民营企业,鲁冠球,自然人,中汇会计师事务所(特殊普通合伙),否,2015
000632.SZ,批发业,1996/11/21,国有企业,福州开发区国有资产营运有限公司;福州经济技术开发区经济发展总公司,国有企业,福建华兴会计师事务所(特殊普通合伙),否,2015
000633.SZ,电气机械及器材制造业,1996/11/12,民营企业,,,大华会计师事务所(特殊普通合伙),否,2015
000635.SZ,化学原料及化学制品制造业,1996/11/20,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000636.SZ,计算机、通信和其他电子设备制造业,1996/11/29,国有企业,广东省人民政府国有资产监督管理委员会,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000637.SZ,石油加工、炼焦及核燃料加工业,1996/11/14,民营企业,刘军,自然人,大华会计师事务所(特殊普通合伙),否,2015
000638.SZ,批发业,1996/11/26,民营企业,张晖,自然人,大信会计师事务所(特殊普通合伙),否,2015
000639.SZ,农副食品加工业,1996/11/26,民营企业,王勇,自然人,天健会计师事务所(特殊普通合伙),否,2015
000650.SZ,医药制造业,1996/12/10,民营企业,杨文龙,自然人,大华会计师事务所(特殊普通合伙),否,2015
000651.SZ,电气机械及器材制造业,1996/11/18,国有企业,珠海市人民政府国有资产监督管理委员会,政府机构,中审众环会计师事务所(特殊普通合伙),否,2015
000652.SZ,批发业,1996/11/28,国有企业,天津市人民政府国有资产管理委员会,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
000655.SZ,黑色金属矿采选业,1996/11/28,国有企业,山东省国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
000656.SZ,房地产业,1996/11/28,民营企业,黄红云;陶虹遐,自然人,天健会计师事务所(特殊普通合伙),否,2015
000657.SZ,有色金属冶炼和压延加工业,1996/12/5,国有企业,中国五矿集团公司,国有企业,天职国际会计师事务所(特殊普通合伙),否,2015
000659.SZ,橡胶和塑料制品业,1996/12/3,民营企业,刘锦钟,自然人,中喜会计师事务所(特殊普通合伙),否,2015
000661.SZ,医药制造业,1996/12/18,国有企业,长春市人民政府,政府机构,大信会计师事务所(特殊普通合伙),否,2015
000662.SZ,化学原料及化学制品制造业,1996/12/16,民营企业,梁国坚;张桂珍,自然人,亚太(集团)会计师事务所(特殊普通合伙),否,2015
000663.SZ,家具制造业,1996/12/6,国有企业,永安市国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
000665.SZ,广播、电视、电影和影视录音制作业,1996/12/10,国有企业,湖北广播电视台,国有企业,利安达会计师事务所(特殊普通合伙),否,2015
000666.SZ,专用设备制造业,1996/12/10,国有企业,国务院国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),是,2015
000667.SZ,房地产业,1996/12/5,民营企业,刘道明,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
000668.SZ,房地产业,1996/12/10,民营企业,盛小宁;盛毓南,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
000669.SZ,燃气生产和供应业,1996/12/10,民营企业,陈义和,自然人,立信会计师事务所(特殊普通合伙),否,2015
000670.SZ,计算机、通信和其他电子设备制造业,1996/12/17,民营企业,陈志成,自然人,致同会计师事务所(特殊普通合伙),否,2015
000671.SZ,房地产业,1996/12/18,民营企业,吴洁,自然人,立信中联会计师事务所(特殊普通合伙),否,2015
000672.SZ,非金属矿物制品业,1996/12/18,民营企业,俞锋,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000673.SZ,文化艺术业,1997/1/24,民营企业,王春芳,自然人,大信会计师事务所(特殊普通合伙),否,2015
000676.SZ,电气机械及器材制造业,1996/12/24,民营企业,吴红心,自然人,中勤万信会计师事务所(特殊普通合伙),否,2015
000677.SZ,化学纤维制造业,1996/12/26,国有企业,虞文品,自然人,天职国际会计师事务所(特殊普通合伙),否,2015
000678.SZ,通用设备制造业,1997/1/6,国有企业,湖北省国有资产监督管理委员会,政府机构,中勤万信会计师事务所(特殊普通合伙),否,2015
000679.SZ,零售业,1997/1/24,民营企业,49位自然人,自然人,大华会计师事务所(特殊普通合伙),否,2015
000680.SZ,专用设备制造业,1997/1/22,国有企业,山东省国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
000681.SZ,文化艺术业,1997/1/21,民营企业,李学凌;柴继军;吴玉瑞;梁世平;袁闯;高玮;姜海林;廖道训;吴春红;陈智华,自然人,中审众环会计师事务所(特殊有限合伙),否,2015
000682.SZ,电气机械及器材制造业,1997/1/21,国有企业,烟台市国有资产监督管理委员会,政府机构,山东和信会计师事务所(特殊普通合伙),否,2015
000683.SZ,化学原料及化学制品制造业,1997/1/31,民营企业,戴连荣,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000685.SZ,水的生产和供应业,1997/1/23,国有企业,中山市国有资产监督管理委员会,政府机构,广东正中珠江会计师事务所(特殊普通合伙),否,2015
000686.SZ,资本市场服务,1997/2/27,国有企业,,,立信会计师事务所(特殊普通合伙),否,2015
000687.SZ,化学纤维制造业,1997/2/21,国有企业,吴光胜,自然人,大信会计师事务所(特殊普通合伙),否,2015
000688.SZ,有色金属矿采选业,1997/1/20,民营企业,刘建民,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000690.SZ,电力、热力生产和供应业,1997/1/28,民营企业,叶华能,自然人,北京兴华会计师事务所(特殊普通合伙),否,2015
000691.SZ,房地产业,1997/2/28,民营企业,朱全祖,自然人,希格玛会计师事务所(特殊普通合伙),否,2015
000692.SZ,电力、热力生产和供应业,1997/2/27,国有企业,沈阳市人民政府国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
000693.SZ,有色金属矿采选业,1997/2/26,民营企业,王涛;王辉;王应虎,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000695.SZ,电力、热力生产和供应业,1997/2/18,国有企业,天津市财政局,政府机构,立信会计师事务所(特殊普通合伙),否,2015
000697.SZ,有色金属矿采选业,1997/3/25,民营企业,张政,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000698.SZ,石油加工、炼焦及核燃料加工业,1997/2/20,国有企业,国务院国有资产监督管理委员会,政府机构,毕马威华振会计师事务所(特殊普通合伙),否,2015
000700.SZ,汽车制造业,1997/2/28,民营企业,曹明芳,自然人,江苏公证天业会计师事务所(特殊普通合伙),否,2015
000701.SZ,批发业,1997/2/26,国有企业,厦门市国有资产监督管理委员会,政府机构,北京兴华会计师事务所(特殊普通合伙),否,2015
000702.SZ,农副食品加工业,1997/3/18,国有企业,湖南省岳阳市屈原管理区,其他,天健会计师事务所(特殊普通合伙),否,2015
000703.SZ,化学纤维制造业,1997/3/28,民营企业,邱建林,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000705.SZ,批发业,1997/4/10,国有企业,绍兴市人民政府国有资产监督管理委员会,政府机构,天健会计师事务所(特殊普通合伙),否,2015
000707.SZ,化学原料及化学制品制造业,1997/4/15,国有企业,湖北省宜昌市人民政府国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
000708.SZ,黑色金属冶炼及压延加工业,1997/3/26,国有企业,财政部,政府机构,普华永道中天会计师事务所(特殊普通合伙),否,2015
000709.SZ,黑色金属冶炼及压延加工业,1997/4/16,国有企业,河北省人民政府国有资产监督管理委员会,政府机构,中兴财光华会计师事务所(特殊普通合伙),否,2015
000710.SZ,汽车制造业,1997/4/22,民营企业,吴进良,自然人,中审华寅五洲会计师事务所(特殊普通合伙),否,2015
000711.SZ,房地产业,1997/4/11,民营企业,郭绍增,自然人,中兴财光华会计师事务所(特殊普通合伙),否,2015
000712.SZ,资本市场服务,1997/4/15,民营企业,杨志茂,自然人,立信会计师事务所(特殊普通合伙),否,2015
000713.SZ,农、林、牧、渔服务业,1997/4/22,国有企业,合肥市国有资产监督管理委员会,政府机构,大华会计师事务所(特殊普通合伙),否,2015
000715.SZ,零售业,1997/5/8,国有企业,沈阳市国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
000716.SZ,食品制造业,1997/4/18,民营企业,韦清文;李汉朝;李汉荣;李玉琦,自然人,北京永拓会计师事务所(特殊普通合伙),否,2015
000717.SZ,黑色金属冶炼及压延加工业,1997/5/8,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000718.SZ,房地产业,1997/4/8,民营企业,张桂平,自然人,中喜会计师事务所(特殊普通合伙),否,2015
000719.SZ,新闻和出版业,1997/3/31,国有企业,河南省人民政府国有资产监督管理委员会,政府机构,中勤万信会计师事务所(特殊普通合伙),否,2015
000720.SZ,电力、热力生产和供应业,1997/5/9,国有企业,国务院国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
000721.SZ,餐饮业,1997/4/30,国有企业,西安市国有资产监督管理委员会,政府机构,希格玛会计师事务所(特殊普通合伙),否,2015
000722.SZ,电力、热力生产和供应业,1997/5/22,国有企业,湖南省人民政府,政府机构,天健会计师事务所(特殊普通合伙),否,2015
000723.SZ,石油加工、炼焦及核燃料加工业,1997/5/15,民营企业,姚俊花;姚俊卿;姚俊杰;姚三俊;姚俊良;高反娥;姚四俊,自然人,北京兴华会计师事务所(特殊普通合伙),否,2015
000725.SZ,计算机、通信和其他电子设备制造业,2001/1/12,国有企业,北京市人民政府国有资产监督管理委员会,政府机构,毕马威华振会计师事务所(特殊普通合伙),否,2015
000726.SZ,纺织业,2000/12/25,民营企业,刘石祯,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000727.SZ,计算机、通信和其他电子设备制造业,1997/5/20,国有企业,国务院国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
000728.SZ,资本市场服务,1997/6/16,国有企业,安徽省国有资产监督管理委员会,政府机构,华普天健会计师事务所(特殊普通合伙),否,2015
000729.SZ,酒、饮料和精制茶制造业,1997/7/16,国有企业,北京市人民政府,政府机构,致同会计师事务所(特殊普通合伙),否,2015
000731.SZ,化学原料及化学制品制造业,1997/6/17,国有企业,国务院国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),否,2015
000732.SZ,房地产业,1997/7/4,民营企业,黄其森,自然人,瑞华会计师事务所(特殊普通合伙),否,2015
000733.SZ,计算机、通信和其他电子设备制造业,1997/7/3,国有企业,国务院国有资产监督管理委员会,政府机构,大信会计师事务所(特殊普通合伙),否,2015
000735.SZ,畜牧业,1997/6/11,民营企业,徐自力,自然人,中审众环会计师事务所(特殊普通合伙),否,2015
000736.SZ,房地产业,1997/4/25,国有企业,国务院国有资产监督管理委员会,政府机构,瑞华会计师事务所(特殊普通合伙),否,2015
000737.SZ,化学原料及化学制品制造业,1997/4/28,国有企业,山西焦煤集团有限责任公司,国有企业,立信会计师事务所(特殊普通合伙),否,2015
000738.SZ,铁路、船舶、航空航天和其它运输设备制造业,1997/6/26,国有企业,中国航空工业集团公司,国有企业,瑞华会计师事务所(特殊普通合伙),否,2015
000739.SZ,医药制造业,1997/5/9,民营企业,横店社团经济企业联合会,其他,山东和信会计师事务所(特殊普通合伙),否,2015
000748.SZ,计算机、通信和其他电子设备制造业,1997/7/4,国有企业,国务院国有资产监督管理委员会,政府机构,天职国际会计师事务所(特殊普通合伙),否,2015
000750.SZ,资本市场服务,1997/7/9,国有企业,,,大信会计师事务所(特殊普通合伙),否,2015
000751.SZ,有色金属冶炼和压延加工业,1997/6/26,国有企业,国务院国资委,政府机构,华普天健会计师事务所(特殊普通合伙),否,2015
000752.SZ,酒、饮料和精制茶制造业,1997/6/25,民营企业,范志明,自然人,信永中和会计师事务所(特殊普通合伙),否,2015
000753.SZ,零售业,1997/6/26,国有企业,漳州市人民政府国有资产监督管理委员会,政府机构,福建华兴会计师事务所(特殊普通合伙),否,2015
000755.SZ,化学原料及化学制品制造业,1997/6/27,国有企业,山西省国有资产监督管理委员会,政府机构,致同会计师事务所(特殊普通合伙),否,2015
000756.SZ,医药制造业,1997/8/6,国有企业,山东省国有资产监督管理委员会,政府机构,信永中和会计师事务所(特殊普通合伙),是,2015
